idx;date;rubro;subrubro;detalle;Total Entidades Establecimientos de crédito sin IOE'S;Total Sector Privado;Total Sector Privado Nacional;Total Sector Privado Extranjero;Total Sector Público;Total Sector Cooperativas;Total Bancos ;Bancos Privados;Bancos Privados Nacionales ;Bancos Privados Extranjeros;Bancos Públicos ;Bancos Nacionales;Total CFIs;CFIs Privadas;CFIs Privadas Nacionales;CFIs Privadas Extranjeras;Total CFs ;Total CFs Nacionales (Tradicionales+Leasing);Total CFs Extranjeras (Tradicionales+Leasing);Total CFs Tradicionales;CFs Privadas;CFs Privadas Nacionales;CFs Privadas Extranjeras;Total Cooperativas;BANCO DE BOGOTA;BANCO POPULAR;ITAÚ CORPBANCA COLOMBIA S.A.;BANCOLOMBIA;CITIBANK-COLOMBIA;GNB SUDAMERIS;BBVA COLOMBIA;OCCIDENTE;BANCO CAJA SOCIAL;DAVIVIENDA;SCOTIABANK COLPATRIA S.A;BANAGRARIO;BANCO AV VILLAS;BANCO CREDIFINANCIERA ;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FINANDINA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;COOPCENTRAL;BANCO SANTANDER DE NEGOCIOS COLOMBIA;BANCO MUNDO MUJER S.A.;MIBANCO S.A.;BANCO SERFINANZA S.A.;BANCO J.P: MORGAN COLOMBIA S.A.;LULO BANK S.A.;BANCO PTG PACTUAL;CORFICOLOMBIANA;B INV BANCOLOMBIA;BNP PARIBAS COLOMBIA;CORPORACIÓN FINANCIERA GNB SUDAMERIS S.A;CORPORACIÓN FINANCIERA DAVIVIENDA;GIROS Y FINANZAS;COMPAÑÍA DE FINANCIAMIENTO TUYA;GM FINANCIAL COLOMBIA S.A.;COLTEFINANCIERA;DANN REGIONAL;CREDIFAMILIA;CREZCAMOS S.A.;LA HIPOTECARIA;FINANCIERA JURISCOOP S.A.;RCI COLOMBIA S.A.;BANCAR TECNOLOGIA CO S.A.;COOP FINAN DE ANTIOQUIA;JFK COOPERATIVA FINANCIERA;COOP FINAN COOFINEP;COOP FINAN COTRAFA;COOP FINAN CONFIAR;BANCO BTG PACTUAL;BANCO UNION;IRIS CF;SANTANDER CONSUMER S.A. C.F.C;Total CFIs privadas;BANCIEN S.A;RAPPIPAY COMPAÑÍA DE FINANCIAMIENTO;MERCADO PAGO;BOLD COMPAÑÍA DE FINANCIAMIENTO;BANCO CONTACTAR;CREDICORP CAPITAL CORPORACIÓN FINANCIERA ;NU COLOMBIA C.F.;KOA C.F
1058;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;TOTAL VIVIENDA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1059;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;VIGENTE;94181955.87;93502977.82;69226279.47;24276698.35;165311.42;513666.63;92804138.62;92638827.2;68648023.99;23990803.21;165311.42;68813335.41;0;0;0;0;864150.62;578255.48;285895.14;864150.62;864150.62;578255.48;285895.14;513666.63;7225225.24;1197266.57;3541554.3;19055137.8;0;40131.49;13904710.99;2389700.57;7022669.62;27621283.81;6504406.43;165311.42;2439607.45;0;20289.72;0;1520231.18;1117.93;0;0;0;0;0;47971.63;0;0;0;0;0;0;0;0;0;0;0;0;3000.08;0;575255.4;0;285895.14;0;0;0;10732.67;50.89;35819.59;89680.52;377382.96;0;107522.47;0;0;0;0;0;0;0;0;0;0;0
1060;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;1-4 MESES;90098.84;90013.92;79895.99;10117.93;0;84.92;89524.22;89524.22;79895.99;9628.23;0;79895.99;0;0;0;0;489.7;0;489.7;489.7;489.7;0;489.7;84.92;0;149.62;1137.56;12537.53;0;0;6786.37;345.07;13044.93;51354.27;1704.3;0;2124.84;0;0;0;298.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489.7;0;0;0;0;0;26.13;20.47;38.32;0;41.54;0;0;0;0;0;0;0;0;0;0;0
1061;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;4-6 MESES;461180.5;460227.32;399017.7;61209.62;185.53;767.65;455459.06;455273.53;396615.17;58658.36;185.53;396800.7;0;0;0;0;4953.79;2402.53;2551.26;4953.79;4953.79;2402.53;2551.26;767.65;29061.03;5403.38;11812.6;73729.98;0;195.92;24388.7;9130.34;56768.28;211214.65;22261.14;185.53;6036.75;0;125.2;0;4905.69;0;0;0;0;0;0;239.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2402.53;0;2551.26;0;0;0;0;0;11.15;72.38;684.12;0;0;0;0;0;0;0;0;0;0;0;0;0
1062;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;6-12 MESES;575039.42;573190.62;458521.44;114669.18;452.84;1395.96;567482.19;567029.35;455417.9;111611.45;452.84;455870.74;0;0;0;0;6161.27;3103.54;3057.73;6161.27;6161.27;3103.54;3057.73;1395.96;44959.72;4210.18;26347.71;91710.4;0;155.79;51449.71;7304.23;68910.31;226337.19;33658.24;452.84;7555.69;0;0;0;3853.11;0;0;0;0;0;0;341.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3103.54;0;3057.73;0;0;0;0;0;97.41;105.29;1193.26;0;235.41;0;0;0;0;0;0;0;0;0;0;0
1063;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;6-18 MESES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1064;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;12-18 MESES;301204.56;299876.5;224521.65;75354.85;301.01;1027.05;296956.93;296655.92;222733.82;73922.1;301.01;223034.83;0;0;0;0;3220.58;1787.83;1432.75;3220.58;3220.58;1787.83;1432.75;1027.05;28793.41;2580.63;12209.41;43439.6;0;102.4;40006.24;6413.88;27314.55;106849.81;21604.05;301.01;3914.84;0;53.35;0;3228.44;0;0;0;0;0;0;145.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1787.83;0;1432.75;0;0;0;0;0;41.08;38.44;947.53;0;0;0;0;0;0;0;0;0;0;0;0;0
1065;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;+18 MESES;954634.38;951269.13;661734.4;289534.73;1509.38;1855.87;944211.95;942702.57;656044.97;286657.6;1509.38;657554.35;0;0;0;0;8566.56;5689.43;2877.13;8566.56;8566.56;5689.43;2877.13;1855.87;71259.61;16418.16;33217.11;210032.28;0;506.26;158347.88;22423.86;90504.26;195753.49;94586.35;1509.38;32484.84;0;0;0;16043.71;0;0;0;0;0;0;262.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5689.43;0;2877.13;0;0;0;0;0;55.89;83.67;1716.31;0;861.92;0;0;0;0;0;0;0;0;0;0;0
1066;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Bruto;96564113.57;95877555.31;71049970.65;24827584.66;167760.18;518798.08;95157772.97;94990012.79;70458731.84;24531280.95;167760.18;70626492.02;0;0;0;0;887542.52;591238.81;296303.71;887542.52;887542.52;591238.81;296303.71;518798.08;7399299.01;1226028.54;3626278.69;19486587.59;0;41091.86;14185689.89;2435317.95;7279211.95;28412793.22;6678220.51;167760.18;2491724.41;0;20468.27;0;1548560.32;1117.93;0;0;0;0;0;48961.31;0;0;0;0;0;0;0;0;0;0;0;0;3000.08;0;588238.73;0;296303.71;0;0;0;10732.67;50.89;36051.25;90000.77;381962.5;0;108661.34;0;0;0;0;0;0;0;0;0;0;0
1067;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Vencido;2382157.7;2374577.49;1823691.18;550886.31;2448.76;5131.45;2353634.35;2351185.59;1810707.85;540477.74;2448.76;1813156.61;0;0;0;0;23391.9;12983.33;10408.57;23391.9;23391.9;12983.33;10408.57;5131.45;174073.77;28761.97;84724.39;431449.79;0;960.37;280978.9;45617.38;256542.33;791509.41;173814.08;2448.76;52116.96;0;178.55;0;28329.14;0;0;0;0;0;0;989.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12983.33;0;10408.57;0;0;0;0;0;231.66;320.25;4579.54;0;1138.87;0;0;0;0;0;0;0;0;0;0;0
1068;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Vigente / Bruto;0.975330818;0.975233229;0.974332274;0.977811522;0.985403211;0.990108965;0.975265979;0.975248076;0.974301158;0.977967814;0.985403211;0.974327528;0;0;0;0;0.973644192;0.978040464;0.964871955;0.973644192;0.973644192;0.978040464;0.964871955;0.990108965;0.976474289;0.976540538;0.976635996;0.977859141;0;0.976628705;0.980192793;0.981268409;0.964756854;0.972142499;0.973972995;0.985403211;0.979083979;0;0.991276742;0;0.981706144;1;0;0;0;0;0;0.979786489;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.977928468;0;0.964871955;0;0;0;1;1;0.993574148;0.996441697;0.988010498;0;0.989519087;0;0;0;0;0;0;0;0;0;0;0
1069;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Calidad;0.024669182;0.024766771;0.025667726;0.022188478;0.014596789;0.009891035;0.024734021;0.024751924;0.025698842;0.022032186;0.014596789;0.025672472;0;0;0;0;0.026355808;0.021959536;0.035128045;0.026355808;0.026355808;0.021959536;0.035128045;0.009891035;0.023525711;0.023459462;0.023364004;0.022140859;0;0.023371295;0.019807207;0.018731591;0.035243146;0.027857501;0.026027005;0.014596789;0.020916021;0;0.008723258;0;0.018293856;0;0;0;0;0;0;0.020213511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.022071532;0;0.035128045;0;0;0;0;0;0.006425852;0.003558303;0.011989502;0;0.010480913;0;0;0;0;0;0;0;0;0;0;0
1070;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Bruto Vivienda / Bruto Total;0.146051773;0.149990546;0.148592221;0.154141628;0.009480885;0.122213321;0.148111754;0.152037969;0.14976496;0.158967666;0.009480885;0.144679981;0;0;0;0;0.06143964;0.076864339;0.043872241;0.06143964;0.06143964;0.076864339;0.043872241;0.122213321;0.100751788;0.049159868;0.174801513;0.112564917;0;0.00348848;0.204808452;0.058961718;0.491742993;0.264514988;0.196830723;0.009480885;0.169830042;0;0.010866217;0;0.369805052;0.000320166;0;0;0;0;0;0.031948713;0;0;0;0;0;0;0;0;0;0;0;0;0.003057956;0;0.984660561;0;0.868714287;0;0;0;0.024005807;3.50493E-05;0.128911714;0.098229421;0.332115633;0;0.174037263;0;0;0;0;0;0;0;0;0;0;0
1071;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Cubrimiento;1.354946665;1.351010811;1.328307115;1.426170656;2.142913148;2.800239698;1.355126896;1.354306416;1.328988346;1.439126984;2.142913148;1.330087592;0;0;0;0;1.019760259;1.233299932;0.753397441;1.019760259;1.019760259;1.233299932;0.753397441;2.800239698;1.103651056;1.168555214;1.267715117;1.847879657;0;1.30585087;1.708656202;1.588670371;1.71428719;0.951764781;1.087709753;2.142913148;1.358659446;0;2.388014562;0;1.492506303;0;0;0;0;0;0;1.277119877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.21922342;0;0.753397441;0;0;0;0;0;3.691660192;5.533583138;2.446743559;0;2.664553461;0;0;0;0;0;0;0;0;0;0;0
1072;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;TOTAL MICROCREDITO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1073;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;VIGENTE;15742202.54;7680798.33;7368327.94;312470.39;7718861.37;342542.84;15170966.06;7452104.69;7368327.94;83776.75;7718861.37;15087189.31;0;0;0;0;228693.64;0;228693.64;228693.64;228693.64;0;228693.64;342542.84;219775.62;1516.79;0;486466.38;0;0;0;0;890096.96;1183.98;0;7718861.37;119.04;105601.64;1605302.1;1253460.21;0;7.03;0;0;7889.81;83776.75;1740839.88;1056068.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;228693.64;0;0;0;0;128757.75;81005.93;2821.97;27715.16;102242.03;0;0;0;0;0;0;0;0;0;0;0;0;0
1074;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;1-2 MESES;181751.1;104529.11;97734.42;6794.69;69735.5;7486.49;168435.38;98699.88;97734.42;965.46;69735.5;167469.92;0;0;0;0;5829.23;0;5829.23;5829.23;5829.23;0;5829.23;7486.49;4303.69;3.01;0;14097.13;0;0;0;0;13685.85;12.04;0;69735.5;0;3106.79;24200.3;10653.67;0;0;0;0;160.8;965.46;14938.87;12572.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5829.23;0;0;0;0;1659.57;2428.38;213.35;700.75;2484.44;0;0;0;0;0;0;0;0;0;0;0;0;0
1075;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;2-3 MESES;120615.35;73071.04;68881;4190.04;43842.64;3701.67;113114.68;69272.04;68881;391.04;43842.64;112723.64;0;0;0;0;3799;0;3799;3799;3799;0;3799;3701.67;3168.4;0;0;9846.96;0;0;0;0;9019.1;78.09;0;43842.64;0;2951.29;16622.57;9186.07;0;0;0;0;135.64;391.04;10777.89;7094.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3799;0;0;0;0;834.25;920.35;128.88;252.53;1565.66;0;0;0;0;0;0;0;0;0;0;0;0;0
1076;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;3-4 MESES;104755.22;65526;61576.22;3949.78;36874.41;2354.81;98878.23;62003.82;61576.22;427.6;36874.41;98450.63;0;0;0;0;3522.18;0;3522.18;3522.18;3522.18;0;3522.18;2354.81;2439.82;3.12;0;8796.39;0;0;0;0;6735.7;51.96;0;36874.41;0;2211.4;16175.84;8356.28;0;0;0;0;80.52;427.6;10470.88;6254.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3522.18;0;0;0;0;585.27;532.92;155.62;133.04;947.96;0;0;0;0;0;0;0;0;0;0;0;0;0
1077;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;+4 MESES;521264.86;226655.27;215087.78;11567.49;280612.28;13997.31;496058.92;215446.64;215087.78;358.86;280612.28;495700.06;0;0;0;0;11208.63;0;11208.63;11208.63;11208.63;0;11208.63;13997.31;15282.23;141.99;0;30755.33;0;0;1.5;0;25556.4;60.14;0;280612.28;24.25;12522.79;44403.59;22531.3;0;0;0;0;497.11;357.36;43283.05;20029.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11208.63;0;0;0;0;4166.8;4454.75;145;1053.14;4177.62;0;0;0;0;0;0;0;0;0;0;0;0;0
1078;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Bruto;16670589.07;8150579.75;7811607.36;338972.39;8149926.2;370083.12;16047453.27;7897527.07;7811607.36;85919.71;8149926.2;15961533.56;0;0;0;0;253052.68;0;253052.68;253052.68;253052.68;0;253052.68;370083.12;244969.76;1664.91;0;549962.19;0;0;1.5;0;945094.01;1386.21;0;8149926.2;143.29;126393.91;1706704.4;1304187.53;0;7.03;0;0;8763.88;85918.21;1820310.57;1102019.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253052.68;0;0;0;0;136003.64;89342.33;3464.82;29854.62;111417.71;0;0;0;0;0;0;0;0;0;0;0;0;0
1079;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Vencido;928386.53;469781.42;443279.42;26502;431064.83;27540.28;876487.21;445422.38;443279.42;2142.96;431064.83;874344.25;0;0;0;0;24359.04;0;24359.04;24359.04;24359.04;0;24359.04;27540.28;25194.14;148.12;0;63495.81;0;0;1.5;0;54997.05;202.23;0;431064.83;24.25;20792.27;101402.3;50727.32;0;0;0;0;874.07;2141.46;79470.69;45951.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24359.04;0;0;0;0;7245.89;8336.4;642.85;2139.46;9175.68;0;0;0;0;0;0;0;0;0;0;0;0;0
1080;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Vigente / Bruto;0.944309915;0.942362208;0.943253751;0.921816641;0.947108131;0.925583528;0.945381538;0.943599765;0.943253751;0.975058575;0.947108131;0.945221789;0;0;0;0;0.903739253;0;0.903739253;0.903739253;0.903739253;0;0.903739253;0.925583528;0.897154081;0.91103423;0;0.884545136;0;0;0;0;0.941807853;0.854113013;0;0.947108131;0.830762789;0.835496267;0.940585903;0.961104275;0;1;0;0;0.900264495;0.975075598;0.956342236;0.958302768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.903739253;0;0;0;0;0.946722823;0.906691487;0.814463666;0.92833739;0.917646126;0;0;0;0;0;0;0;0;0;0;0;0;0
1081;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Calidad;0.055690085;0.057637792;0.056746249;0.078183359;0.052891869;0.074416472;0.054618462;0.056400235;0.056746249;0.024941425;0.052891869;0.054778211;0;0;0;0;0.096260747;0;0.096260747;0.096260747;0.096260747;0;0.096260747;0.074416472;0.102845919;0.08896577;0;0.115454864;0;0;1;0;0.058192147;0.145886987;0;0.052891869;0.169237211;0.164503733;0.059414097;0.038895725;0;0;0;0;0.099735505;0.024924402;0.043657764;0.041697232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.096260747;0;0;0;0;0.053277177;0.093308513;0.185536334;0.07166261;0.082353874;0;0;0;0;0;0;0;0;0;0;0;0;0
1082;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Bruto Microcredito / Bruto Total;0.025214016;0.012750741;0.01633701;0.002104504;0.460589109;0.087180521;0.024977638;0.012640529;0.016604118;0.000556777;0.460589109;0.032697566;0;0;0;0;0.017517432;0;0.037468272;0.017517432;0.017517432;0;0.037468272;0.087180521;0.003335605;6.67576E-05;0;0.003176875;0;0;2.16565E-08;0;0.063845284;1.29052E-05;0;0.460589109;9.76631E-06;0.07414967;0.906057083;0.824817321;0;2.01333E-06;0;0;0.008941711;0.017056913;0.748480466;0.719100656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.734079293;0;0;0;0;0.304199904;0.061532365;0.01238947;0.032584188;0.096877477;0;0;0;0;0;0;0;0;0;0;0;0;0
1083;2022-12-31 00:00:00;INDICADORES DE RIESGO POR TIEMPO;TOTAL CARTERA;Cubrimiento;1.008651752;1.068556628;1.08698642;0.760295072;0.866209892;2.216318425;0.97850425;1.08717896;1.08698642;1.12700657;0.866209892;0.978140281;0;0;0;0;0.728034028;0;0.728034028;0.728034028;0.728034028;0;0.728034028;2.216318425;0.975336725;1.057385903;0;1.058577408;0;0;1.006666667;0;0.98328474;0.429065915;0;0.866209892;1.108041237;0.813871694;0.957453135;1.270971342;0;0;0;0;0.646515725;1.127090863;1.445359667;0.909449749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.728034028;0;0;0;0;2.246670871;4.078038482;0.485789842;0.885410337;0.932481298;0;0;0;0;0;0;0;0;0;0;0;0;0
1084;2022-12-31 00:00:00;CARTERA Y LEASING POR CALIFICACION;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1085;2022-12-31 00:00:00;TOTAL CARTERA Y LEASING;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1086;2022-12-31 00:00:00;TOTAL CARTERA Y LEASING;0;A;608667820.2;589154149;439899742.6;149254406.5;15626339.5;3887331.65;591733254;576106914.5;433051606.4;143055308.1;15626339.5;448677945.9;0;0;0;0;13047234.58;6848136.18;6199098.4;13047234.58;13047234.58;6848136.18;6199098.4;3887331.65;67068746.46;23746695.71;18588415.41;160990456.4;4083156.76;11261778.15;64414663.18;38109156.89;13828567.35;96253976.13;31324579.42;15626339.5;14019820.48;1586176.25;1717680.69;1415821.36;3831358.46;3200254.01;6101478.52;1985562.93;912368.25;4924122.83;2254941.63;1463590.92;1893438.37;0;185701.83;0;0;0;0;0;0;0;3906769.91;2286278.02;889112.89;0;574191.12;296139.94;313770.62;1041261.46;3302909.82;0;409631.38;1327445.84;237733.88;859182.11;1053338.44;371550.85;572855.25;436800.8;0;0;0;0;0;0;0;0;0;0
1087;2022-12-31 00:00:00;TOTAL CARTERA Y LEASING;0;B;15214762.64;14632028.71;10424170.2;4207858.51;439811.44;142922.49;14605063.81;14165252.37;10144921.8;4020330.57;439811.44;10584733.24;0;0;0;0;466776.34;279248.4;187527.94;466776.34;466776.34;279248.4;187527.94;142922.49;1235090.07;209562.29;808653.71;2647898.46;13.1;68359.94;1804357.82;835845.13;256741.24;4190907.67;958396.58;439811.44;176777.28;33846.78;64685.74;82503.26;135666.54;94521.45;265927.97;65418.53;20131.81;49202.92;38330.18;21865.81;82667.32;0;5314.49;0;0;0;0;0;0;0;183244.48;62094.56;40893.59;0;8888.78;11621.53;12497.91;17449.78;101313.94;0;10265.6;70783.26;16160.17;13903.88;31809.58;0;12566.28;28771.77;0;0;0;0;0;0;0;0;0;0
1088;2022-12-31 00:00:00;TOTAL CARTERA Y LEASING;0;C;10029557.59;9503557.23;6893664.96;2609892.27;463635.2;62365.16;9651553.47;9187918.27;6730003.99;2457914.28;463635.2;7193639.19;0;0;0;0;315638.96;163660.97;151977.99;315638.96;315638.96;163660.97;151977.99;62365.16;1278553.09;219092.31;645748.5;1494332.91;123.35;251081.5;900488.51;864970.99;152188.39;2217521.93;482553.55;463635.2;121232.45;18722.71;27237.1;13276.18;76580.61;91915.16;131612.92;31108.34;22888.27;15197.61;22724.23;10486.83;81715.79;0;2311.72;0;0;0;0;0;0;0;99360.38;56486.27;39265.39;0;4695.54;8433.39;7238.61;10172.37;79819.72;0;3404.87;15661.06;16558.15;11234.18;15506.9;0;14253.32;10167.29;0;0;0;0;0;0;0;0;0;0
1089;2022-12-31 00:00:00;TOTAL CARTERA Y LEASING;0;D;13119795.8;12772810.82;10494495.07;2278315.75;270991.58;75993.4;12694626.28;12423634.7;10315090.5;2108544.2;270991.58;10586082.08;0;0;0;0;349176.12;179404.57;169771.55;349176.12;349176.12;179404.57;169771.55;75993.4;2685467.68;343049.27;443198.9;2574425.31;11135.38;131014.21;539252.03;749304.5;287454.3;3135130.86;590117.41;270991.58;145049.1;40423.05;19973.1;22202.37;69137.41;105030.22;245472.5;106394.74;17884.45;41959.03;31132.88;13946.09;65830.69;0;1846.19;0;0;0;0;0;0;0;136688.4;50365.84;11348.47;0;3283.84;16931.57;3993.54;10002.33;98480.6;0;8206.08;11502.77;5961.26;17795.2;32528.09;0;7803.03;18081.53;0;0;0;0;0;0;0;0;0;0
1090;2022-12-31 00:00:00;TOTAL CARTERA Y LEASING;0;E;14131645.67;13161445.42;10441965.75;2719479.67;893792.24;76408.01;13788300.01;12894507.77;10220437.82;2674069.95;893792.24;11114230.06;0;0;0;0;266937.65;221527.93;45409.72;266937.65;266937.65;221527.93;45409.72;76408.01;1173012.96;421222.88;259105.29;5407104.86;0;67068.5;1604443.96;744097.37;277927.57;1617145.14;573103.63;893792.24;208991.31;25409.41;54084.41;47380.3;74761.47;0;77177.82;86504.17;6839.41;6666.58;84879.21;22607.47;37881.96;0;213.22;0;0;0;0;0;0;0;207603.1;0;453.44;0;6343.27;11594.73;3582.35;4944.2;30232.64;0;15578.43;26563.74;3245.01;14114.96;16905.87;0;16878.87;2183.92;0;0;0;0;0;0;0;0;0;0
1091;2022-12-31 00:00:00;TOTAL CARTERA Y LEASING;0;Bruto;661163581.9;639223991.2;478154038.6;161069952.7;17694569.96;4245020.71;642472797.5;624778227.6;470462060.5;154316167.1;17694569.96;488156630.5;0;0;0;0;14445763.65;7691978.05;6753785.6;14445763.65;14445763.65;7691978.05;6753785.6;4245020.71;73440870.26;24939622.46;20745121.81;173114217.9;4094428.59;11779302.3;69263205.5;41303374.88;14802878.85;107414681.7;33928750.59;17694569.96;14671870.62;1704578.2;1883661.04;1581183.47;4187504.49;3491720.84;6821669.73;2274988.71;980112.19;5037148.97;2432008.13;1532497.12;2161534.13;0;195387.45;0;0;0;0;0;0;0;4533666.27;2455224.69;981073.78;0;597402.55;344721.16;341083.03;1083830.14;3612756.72;0;447086.36;1451956.67;279658.47;916230.33;1150088.88;371550.85;624356.75;496005.31;0;0;0;0;0;0;0;0;0;0
1092;2022-12-31 00:00:00;TOTAL CARTERA Y LEASING;0;B, C, D Y E;52495761.7;50069842.18;38254295.98;11815546.2;2068230.46;357689.06;50739543.57;48671313.11;37410454.11;11260859;2068230.46;39478684.57;0;0;0;0;1398529.07;843841.87;554687.2;1398529.07;1398529.07;843841.87;554687.2;357689.06;6372123.8;1192926.75;2156706.4;12123761.54;11271.83;517524.15;4848542.32;3194217.99;974311.5;11160705.6;2604171.17;2068230.46;652050.14;118401.95;165980.35;165362.11;356146.03;291466.83;720191.21;289425.78;67743.94;113026.14;177066.5;68906.2;268095.76;0;9685.62;0;0;0;0;0;0;0;626896.36;168946.67;91960.89;0;23211.43;48581.22;27312.41;42568.68;309846.9;0;37454.98;124510.83;41924.59;57048.22;96750.44;0;51501.5;59204.51;0;0;0;0;0;0;0;0;0;0
