idx;date;rubro;subrubro;detalle;Total Entidades Establecimientos de crédito sin IOE'S;Total Sector Privado;Total Sector Privado Nacional;Total Sector Privado Extranjero;Total Sector Público;Total Sector Cooperativas;Total Bancos ;Bancos Privados;Bancos Privados Nacionales ;Bancos Privados Extranjeros;Bancos Públicos ;Bancos Nacionales;Total CFIs;CFIs Privadas;CFIs Privadas Nacionales;CFIs Privadas Extranjeras;Total CFs ;Total CFs Nacionales (Tradicionales+Leasing);Total CFs Extranjeras (Tradicionales+Leasing);Total CFs Tradicionales;CFs Privadas;CFs Privadas Nacionales;CFs Privadas Extranjeras;Total Cooperativas;BANCO DE BOGOTA;BANCO POPULAR;ITAÚ CORPBANCA COLOMBIA S.A.;BANCOLOMBIA;CITIBANK-COLOMBIA;GNB SUDAMERIS;BBVA COLOMBIA;OCCIDENTE;BANCO CAJA SOCIAL;DAVIVIENDA;SCOTIABANK COLPATRIA S.A;BANAGRARIO;BANCO AV VILLAS;BANCO CREDIFINANCIERA ;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FINANDINA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;COOPCENTRAL;BANCO SANTANDER DE NEGOCIOS COLOMBIA;BANCO MUNDO MUJER S.A.;MIBANCO S.A.;BANCO SERFINANZA S.A.;BANCO J.P: MORGAN COLOMBIA S.A.;LULO BANK S.A.;BANCO PTG PACTUAL;CORFICOLOMBIANA;B INV BANCOLOMBIA;BNP PARIBAS COLOMBIA;CORPORACIÓN FINANCIERA GNB SUDAMERIS S.A;CORPORACIÓN FINANCIERA DAVIVIENDA;GIROS Y FINANZAS;COMPAÑÍA DE FINANCIAMIENTO TUYA;GM FINANCIAL COLOMBIA S.A.;COLTEFINANCIERA;DANN REGIONAL;CREDIFAMILIA;CREZCAMOS S.A.;LA HIPOTECARIA;FINANCIERA JURISCOOP S.A.;RCI COLOMBIA S.A.;BANCAR TECNOLOGIA CO S.A.;COOP FINAN DE ANTIOQUIA;JFK COOPERATIVA FINANCIERA;COOP FINAN COOFINEP;COOP FINAN COTRAFA;COOP FINAN CONFIAR;BANCO BTG PACTUAL;BANCO UNION;IRIS CF;SANTANDER CONSUMER S.A. C.F.C;Total CFIs privadas;BANCIEN S.A;RAPPIPAY COMPAÑÍA DE FINANCIAMIENTO;MERCADO PAGO;BOLD COMPAÑÍA DE FINANCIAMIENTO;BANCO CONTACTAR;CREDICORP CAPITAL CORPORACIÓN FINANCIERA ;NU COLOMBIA C.F.;KOA C.F
12;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA;26671358.57;22755402;16701035.98;6054366.02;3865857.61;50098.96;26267678.25;22401820.64;16519935.46;5881885.18;3865857.61;20385793.07;252233.74;252233.74;93167.44;159066.3;101347.62;87933.08;13414.54;101347.62;101347.62;87933.08;13414.54;50098.96;940898.05;154777.83;754336.61;10983892.49;843186.84;4126.97;2554423.5;361289.09;107371.2;3298599.71;570682.2;3865857.61;126849.71;14809.02;33142.49;24178.74;306279.73;22460.12;45477.19;65564.86;74539.48;36451.27;68674.11;2173.69;0;1007635.74;0;0;93167.44;0;159066.3;0;0;21220;0;0;0;0;0;0;5006.68;66713.08;0;8407.86;0;0;0;46587.31;3511.65;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS DE PATRIMONIO;2026701.53;2004376.2;1450881.34;553494.86;0;22325.33;1864452.99;1864452.99;1320773.16;543679.83;0;1320773.16;119861.4;119861.4;119861.4;0;20061.81;10246.78;9815.03;20061.81;20061.81;10246.78;9815.03;22325.33;624754.41;104167.89;9450.11;0;0;525724.5;0;422034.48;218.94;11545.98;0;0;121738.68;3697.31;1.03;803.2;0;150.05;0;8505.22;1058.01;0;28269.49;812.7;1520.99;0;0;0;114736.4;5125;0;0;0;0;7438.78;361.01;0;0;635.83;3643.74;936.33;2172.17;3270.71;1603.24;10798.4;0;86.14;420.12;11020.67;0;0;0;0;0;0;0;0;0;0;0;0;0
14;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A COSTO AMORTIZADO;26968300.47;16909191.36;13647224.53;3261966.83;9792908.2;266200.91;26441440.34;16648532.14;13431117.15;3217414.99;9792908.2;23224025.35;126.01;126.01;126.01;0;260533.21;215981.37;44551.84;260533.21;260533.21;215981.37;44551.84;266200.91;2726597.23;1095453.95;682233.41;3120957.43;0;1185867.34;55422.37;775923.02;1334860.07;3403052.1;773935.57;9792908.2;483919.05;44889.98;0;29886.93;158564.48;23463.81;314232.9;43325.37;55494.21;162398.03;35760.45;35798.95;106495.01;0;0.48;0;0;126.01;0;0;0;17499.44;102130.72;32476.74;29830.91;11911.55;2812.45;3711.17;2165.15;51796.3;6198.78;0;16394.97;102978;10897.04;65385.65;70545.25;0;0;0;0;0;0;0;0;0;0;0;0;0
15;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES  A VALOR RAZONABLE CON CAMBIOS EN EL ORI   - INSTRUMENTOS DE PATRIMONIO;3441351.12;3271277.04;2818316.41;452960.63;164663.7;5410.38;2049560.48;1884896.78;1431936.15;452960.63;164663.7;1596599.85;1368038.21;1368038.21;1368038.21;0;18342.05;18342.05;0;18342.05;18342.05;18342.05;0;5410.38;271578.68;150617.44;34323.78;172424.16;74935.16;0;282266.5;110822.4;136929.48;477538.75;61272.43;164663.7;96553.02;2172.33;0;0;11788.24;1348.89;0;162.76;0;0;0;162.76;0;0;0;0;1335870.47;32167.74;0;0;0;0;0;0;17147.22;0;0;0;0;1194.83;0;0;765.73;0;357.46;1556.37;2730.82;0;0;0;0;0;0;0;0;0;0;0;0;0
16;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS REPRESENTATIVOS DE DEUDA (DERECHOS DE TRANSFERENCIA);6903788.45;5522002.58;2690455.78;2831546.8;1381785.87;0;4956873.96;3575088.09;858356.32;2716731.77;1381785.87;2240142.19;1946914.49;1946914.49;1832099.46;114815.03;0;0;0;0;0;0;0;0;0;0;38030.67;420792.3;624025.12;0;169048.78;329126.17;0;94566.03;569797.32;1381785.87;0;0;0;0;13871.82;0;0;0;0;0;0;0;0;1315829.88;0;0;1832099.46;0;114815.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS DE PATRIMONIO (DERECHOS DE TRANSFERENCIA);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A COSTO AMORTIZADO CON CAMBIOS EN RESULTADOS  ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS REPRESENTATIVOS DE DEUDA (DERECHOS DE TRANSFERENCIA);2429124.26;2429124.26;398452.95;2030671.31;0;0;2353895.86;2353895.86;323224.55;2030671.31;0;323224.55;75228.4;75228.4;75228.4;0;0;0;0;0;0;0;0;0;100000;0;0;0;0;0;2030671.31;126690.73;50981.14;0;0;0;0;0;0;0;45552.68;0;0;0;0;0;0;0;0;0;0;0;75228.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS DE PATRIMONIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADAS EN GARANTÍA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA;930369.98;821161.2;548116.39;273044.81;109208.78;0;925794.53;816585.75;543540.94;273044.81;109208.78;652749.72;4575.45;4575.45;4575.45;0;0;0;0;0;0;0;0;0;0;0;5322.6;543540.94;11154.5;0;0;0;0;0;55491.82;109208.78;0;0;0;0;0;0;0;0;0;0;0;0;0;201075.89;0;0;4575.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ENTREGADOS EN GARANTÍA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS DE PATRIMONIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
