idx;date;rubro;subrubro;detalle;BANCIEN S.A;BANCAMIA;BANCO W S.A.;BANCOOMEVA;BANCO FALABELLA S.A.;BANCO PICHINCHA S.A.;BANCO MUNDO MUJER S.A.;LULO BANK S.A.
25;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS - INSTRUMENTOS REPRESENTATIVOS DE DEUDA - POR EXCEDENTES DE ÓRDENES DE COMPRA;0;0;0;0;0;0;0;0
26;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES EN SUBSIDIARIAS Y FILIALES;0;0;0;15243.56;0;0;0;0
27;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES EN ASOCIADAS;0;0;0;0;0;0;0;0
28;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI - INSTRUMENTOS REPRESENTATIVOS DE DEUDA;0;0;6935.96;0;443191.35;265142.24;0;5577.25
29;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES PATRIMONIALES EN ENTIDADES EN LIQUIDACIÓN;0;0;0;0;0;0;0;0
30;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES EN TÍTULOS SOBRE PRODUCTOS Y EN PRODUCTOS AGROPECUARIOS Y AGROINDUSTRIALES  - MERCADO SECUNDARIO;0;0;0;0;0;0;0;0
31;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES EN ACUERDOS CONJUNTOS;0;0;0;0;0;0;0;0
32;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN OPERACIONES DE MERCADO MONETARIO - INSTRUMENTOS DE DEUDA;0;0;0;0;0;159313.78;0;0
33;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI ENTREGADOS EN GARANTÍA DE OPERACIONES CON INSTRUMENTOS DERIVADOS - INSTRUMENTOS DE DEUDA;0;0;0;0;0;0;0;0
34;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES  A VARIACIÓN PATRIMONIAL CON CAMBIOS EN EL ORI  - INSTRUMENTOS DE PATRIMONIO;0;0;0;0;0;1107.97;0;0
35;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES A VALOR RAZONABLE CON CAMBIO;0;0;0;0;0;0;0;0
36;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;OPERACIONES CARRUSEL;0;0;0;0;0;0;0;0
37;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;OPERACIONES DE CONTADO;0;0;0;0;0;10.5;0;0
38;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;CONTRATOS FORWARD - DE NEGOCIACIÓN;0;0;0;0;6030.9;0;0;0
39;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;CONTRATOS DE FUTUROS – DE NEGOCIACIÓN;0;0;0;0;0;0;0;0
40;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;SWAPS – DE NEGOCIACIÓN;0;0;0;0;0;0;0;0
41;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;OPCIONES DE NEGOCIACIÓN;0;0;0;0;0;0;0;0
42;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;CONTRATOS FORWARD - DE COBERTURA;0;0;0;0;0;0;0;0
43;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;CONTRATOS DE FUTUROS – DE COBERTURA;0;0;0;0;0;0;0;0
44;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;SWAPS – DE COBERTURA;0;0;0;0;0;0;0;0
45;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;OPCIONES DE COBERTURA;0;0;0;0;0;0;0;0
46;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;INVERSIONES DERECHOS FIDUCIARIOS;0;0;0;1930.39;0;0;0;0
47;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;OTRAS INVERSIONES DE LAS RESERVAS INTERNACIONALES;0;0;0;0;0;0;0;0
48;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;MECANISMOS ESPECIALES DE PAGOS INTERNACIONALES;0;0;0;0;0;0;0;0
49;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;APORTES EN ORGANISMOS Y ENTIDADES INTERNACIONALES;0;0;0;0;0;0;0;0
50;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;DETERIORO INVERSIONES;0;0;0;0;0;0;0;0
51;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;DETERIORO EN INVERSIONES DE INSTRUMENTOS DE  PATRIMONIO;0;0;0;0;0;0;0;0
52;2021-12-31 00:00:00;ACTIVOS;INVERSIONES Y OPERACIONES CON DERIVADOS;DETERIORO EN INVERSIONES A VALOR RAZONABLE;0;0;0;0;0;0;0;0
53;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;0;0;1543544.56;1342563.09;3758155.52;4801338.38;2201930.44;1873241.44;12.63
54;2021-12-31 00:00:00;ACTIVOS;CARTERA DE CREDITOS Y OPERACIONES DE LEASING;CARTERA DE CREDITOS;0;1645477.66;1511073.78;4024717.26;5122428.17;2379390.04;2010134.59;13
